Id,Predicted
0,2308.308105
1,2787.211426
2,2582.03833
3,3978.388428
4,1995.396484
5,2549.759521
6,2590.759766
7,2114.17334
8,2685.469971
9,2054.833496
10,2373.590088
11,2175.692383
12,2484.883789
13,3081.394531
14,2568.993164
15,2220.268066
16,3397.933105
17,3119.611816
18,1900.415405
19,1979.596802
20,2202.618896
21,1870.334961
22,2154.595215
23,1996.30188
24,2940.245605
25,2193.045166
26,2362.651123
27,2114.859131
28,3065.90332
29,2357.047363
30,2034.13623
31,1928.542725
32,3094.772949
33,2167.427246
34,2313.360352
35,2944.052979
36,1874.301147
37,2194.156494
38,2809.559326
39,2342.522217
40,2281.374023
41,1915.397827
42,2484.969971
43,2157.786865
44,3751.293945
45,2854.702148
46,2005.132568
47,2099.773682
48,2175.930176
49,1984.636841
50,2264.214844
51,2068.808594
52,2098.018799
53,2490.430908
54,2154.760254
55,2205.209717
56,1924.490601
57,3216.015625
58,3053.858398
59,3293.434082
60,2519.20459
61,2316.962158
62,2486.293945
63,2221.954834
64,3129.938721
65,2786.231201
66,2912.000977
67,2415.528809
68,3588.140137
69,4236.212891
70,2782.666748
71,2192.813721
72,3059.391602
73,2945.977783
74,2615.399414
75,2080.623779
76,2525.264404
77,1948.57312
78,2195.674561
79,2263.13501
80,2201.912109
81,3232.793457
82,2204.871582
83,2398.129395
84,2243.107178
85,2584.493652
86,2138.149414
87,3891.116211
88,2748.90625
89,2978.754883
90,2247.878174
91,3119.094971
92,3393.397217
93,2955.649414
94,2153.590576
95,1806.886719
96,2242.273926
97,3562.974365
98,2121.247559
99,2118.256104
100,3375.577637
101,1907.973389
102,4158.540039
103,2971.981201
104,1860.42334
105,2582.793945
106,2737.383057
107,3040.658447
108,2481.705322
109,2986.073975
110,2671.707031
111,2290.580811
112,1967.42688
113,3002.306152
114,2333.206299
115,4542.021973
116,2456.868164
117,2915.320557
118,3183.617432
119,2078.460693
120,3273.193115
121,2196.807373
122,3730.11792
123,2992.181396
124,2365.154297
125,1772.105591
126,2217.246094
127,2254.320313
128,2040.117188
129,2588.979248
130,1887.004272
131,2737.868164
132,3344.747803
133,2445.5625
134,3087.805664
135,3716.088867
136,2552.819824
137,2194.831787
138,2415.016846
139,1993.703979
140,1802.163574
141,2025.450928
142,2119.352783
143,1985.634155
144,3394.375
145,2336.058105
146,2337.591553
147,2601.854248
148,2077.956299
149,2206.025146
150,2640.270996
151,2756.903809
152,3550.989502
153,3360.651123
154,1926.073975
155,2871.272461
156,2853.733154
157,1918.789917
158,2511.127441
159,2009.980713
160,2455.256348
161,2079.514893
162,3132.952637
163,2121.447021
164,3674.496094
165,3720.391357
166,2626.244629
167,2630.414307
168,2518.140137
169,3063.564941
170,2212.377441
171,3186.871582
172,2018.22937
173,1826.682495
174,1947.035278
175,2549.317871
176,3723.215332
177,1839.759277
178,2049.887451
179,2903.106689
180,3621.535156
181,2624.76709
182,2364.442871
183,2284.945801
184,2360.982422
185,3281.102539
186,1977.287109
187,2463.401611
188,1726.170166
189,3223.362793
190,2235.635498
191,2463.570801
192,2172.781494
193,3467.959717
194,2926.857178
195,1852.449951
196,1901.562134
197,1978.507813
198,2896.40625
199,3416.510498
200,2584.096924
201,2237.013672
202,3690.029297
203,2021.757935
204,3469.12793
205,2900.14624
206,2566.064941
207,2092.036621
208,2571.043213
209,3012.891113
210,1718.523438
211,2298.645996
212,2325.504395
213,1838.824463
214,2744.247559
215,2601.847168
216,2528.170898
217,2361.856445
218,2547.734131
219,3645.463135
220,3713.838623
221,2400.178467
222,2701.249023
223,2783.222412
224,2540.154785
225,2279.645508
226,2183.286133
227,4137.412598
228,2630.027344
229,2388.092041
230,2245.822754
231,2988.750488
232,1853.717773
233,3046.445557
234,3061.270752
235,2597.453369
236,2411.584717
237,2079.317383
238,2107.610352
239,4606.572754
240,3380.145508
241,3746.4021
242,4287.829102
243,1880.548706
244,2231.974854
245,2733.746582
246,2696.384277
247,2289.937012
248,2522.80249
249,1864.390015
250,2317.131592
251,1948.093506
252,2048.829102
253,2982.942383
254,2735.529053
255,2315.97168
256,2528.742676
257,3366.114258
258,2554.790771
259,2661.966309
260,2505.514404
261,2277.77002
262,2012.740112
263,1917.139282
264,3336.013672
265,3446.505615
266,3123.869385
267,2760.537109
268,2278.966553
269,3673.954102
270,1924.023804
271,2422.904053
272,2936.561768
273,2501.146973
274,1742.096313
275,2839.576904
276,2565.155273
277,2029.830322
278,2841.154541
279,1901.103516
280,3152.876465
281,2808.277344
282,1774.247192
283,3795.436768
284,2813.722656
285,2815.1875
286,2236.330566
287,2472.545654
288,3279.557129
289,2116.747559
290,2905.721924
291,2254.695801
292,2016.812622
293,2485.67627
294,2017.548218
295,2812.047363
296,3115.438965
297,2165.074707
298,2908.263672
299,4614.353027
300,3699.107666
301,2666.337402
302,2245.518066
303,3104.700439
304,2857.154297
305,4585.361816
306,2969.306152
307,3681.391113
308,3261.935547
309,3739.168701
310,3772.451172
311,2769.503174
312,3006.206299
313,2871.217529
314,2774.80127
315,2503.4646
316,2254.134277
317,2261.221436
318,2531.194336
319,2278.502441
320,3366.983643
321,2177.846436
322,1886.839355
323,1832.238037
324,2167.881836
325,2357.597656
326,2706.211182
327,2342.242188
328,2183.067383
329,2338.077881
330,3911.869385
331,3311.398926
332,2175.483154
333,2030.602905
334,2691.86499
335,2396.077393
336,2487.455078
337,3961.982422
338,3443.057617
339,1784.131958
340,3101.259277
341,2857.841064
342,1721.072876
343,2564.052979
344,2165.502197
345,3355.974609
346,3046.08252
347,2541.793457
348,2703.099365
349,3420.967773
350,1826.472412
351,2271.49707
352,3093.796143
353,4484.27002
354,2579.651855
355,1776.94043
356,3759.752197
357,2719.105469
358,2854.907471
359,2744.094238
360,2177.620605
361,2412.23584
362,2366.812256
363,2278.887451
364,2624.73999
365,2039.851685
366,2273.699707
367,1786.348755
368,2296.490234
369,3171.9021
370,3101.192383
371,2067.820313
372,1966.346313
373,2905.830811
374,1869.602661
375,2481.656006
376,3277.011719
377,2015.019897
378,2141.881592
379,2741.499268
380,2100.517822
381,2065.266113
382,1911.713745
383,2056.476807
384,2123.6875
385,3056.243896
386,2006.419067
387,2807.642334
388,1965.07373
389,2411.13501
390,2943.94751
391,2723.881836
392,2255.710205
393,1892.594849
394,2766.360352
395,2986.161865
396,2529.777832
397,1985.754639
398,1953.595581
399,2079.704834
400,2313.100098
401,2256.58252
402,3418.109375
403,3268.59375
404,1910.411499
405,3977.260254
406,2701.424561
407,2346.724365
408,2395.591797
409,3169.776855
410,1974.009033
411,2365.079102
412,3783.503906
413,3423.169678
414,2324.649414
415,1854.455688
416,3261.183105
417,2194.90332
418,2813.502441
419,1974.806885
420,2916.537354
421,2016.987793
422,2490.224121
423,3818.658936
424,1952.052979
425,2462.657471
426,2026.063843
427,2243.971436
428,2030.25647
429,2755.67627
430,2492.474854
431,2720.985596
432,3148.372803
433,2736.068604
434,1825.763062
435,2634.564941
436,2161.909668
437,1926.742432
438,2005.715942
439,2240.571289
440,2611.518066
441,3361.439209
442,2771.20752
443,2451.625
444,4273.791992
445,4079.72998
446,3162.627197
447,1995.03418
448,2219.360352
449,2223.473389
450,2851.760986
451,2110.908691
452,2877.723389
453,1823.669067
454,2072.835449
455,2812.906738
456,2636.755371
457,2356.520508
458,1608.555908
459,2732.428955
460,1758.360718
461,3143.190186
462,1872.876099
463,2016.947754
464,2220.839355
465,2602.382813
466,2582.273438
467,2146.555908
468,1986.127319
469,1997.503052
470,2707.317383
471,2057.101318
472,2421.309814
473,2429.323242
474,1508.99939
475,1896.474609
476,3562.974365
477,3203.71875
478,3212.203613
479,2549.375
480,3915.077637
481,1855.90686
482,2440.073486
483,2314.079834
